SMS_pers_legacy_id_ssd1,SMS_pers_person_id_ssd1,SMS_pers_legacy_id_ssd2,SMS_pers_person_id_ssd2,SMS_pers_legacy_id_ssd3,SMS_pers_person_id_ssd3,Az_pers_legacy_id_ssd1,Az_pers_person_id_ssd1,Az_pers_legacy_id_ssd2,Az_pers_person_id_ssd2,Az_pers_legacy_id_ssd3,Az_pers_person_id_ssd3,cincplac_pers_legacy_id,cincplac_pers_person_id
P4042044,94896,P4042044,94896,P3036771,27959,P4042044,94896,P4042044,94896,P3036771,27959,P4115243,123227
P4042230,94967,P4042230,94967,P3037466,28342,P4042230,94967,P4042230,94967,P3037466,28342,P4115268,123229
P4044088,95753,P4044088,95753,P3038857,28728,P4044088,95753,P4044088,95753,P3038857,28728,P4115483,123317
P4044104,95762,P4044104,95762,P3039335,28866,P4044104,95762,P4044104,95762,P3039335,28866,P4115497,123323
P4044663,96002,P4044663,96002,P3041997,29838,P4044663,96002,P4044663,96002,P3041997,29838,S729217,7128651
P4044937,96096,P4044937,96096,P3042433,30015,P4044937,96096,P4044937,96096,P3042433,30015,7046029,7046029
P4045016,96110,P4045016,96110,P3043387,30365,P4045016,96110,P4045016,96110,P3043387,30365,7046030,7046030
P4045053,96124,P4045053,96124,P3043388,30366,P4045053,96124,P4045053,96124,P3043388,30366,7046136,7046136
P4045239,96192,P4045239,96192,P3044896,30907,P4045239,96192,P4045239,96192,P3044896,30907,7046189,7046189
P4045557,96322,P4045557,96322,P3044897,30908,P4045557,96322,P4045557,96322,P3044897,30908,7205159,7205159
P4045741,96397,P4045741,96397,P3046961,31705,P4045741,96397,P4045741,96397,P3046961,31705,7205169,7205169
P4046447,96681,P4046447,96681,P3046962,31706,P4046447,96681,P4046447,96681,P3046962,31706,7205308,7205308
P4047413,97088,P4047413,97088,P3050509,32979,P4047413,97088,P4047413,97088,P3050509,32979,P4189318,158768
P4047740,97237,P4047740,97237,P3051452,33338,P4047740,97237,P4047740,97237,P3051452,33338,P4189327,158776
P4047769,97262,P4047769,97262,P3051942,33510,P4047769,97262,P4047769,97262,P3051942,33510,P4117475,124063
P4048000,97337,P4048000,97337,P3053980,34274,P4048000,97337,P4048000,97337,P3053980,34274,P4117521,124071
P4048176,97413,P4048176,97413,P3055358,34763,P4048176,97413,P4048176,97413,P3055358,34763,P4117794,124166
P4048286,97460,P4048286,97460,P3056225,35086,P4048286,97460,P4048286,97460,P3056225,35086,7046227,7046227
P4048596,97603,P4048596,97603,P3056547,35214,P4048596,97603,P4048596,97603,P3056547,35214,P4119025,124636
P4049921,98153,P4049921,98153,P3056740,35304,P4049921,98153,P4049921,98153,P3056740,35304,P4119034,124638
P4050014,98204,P4050014,98204,P3057722,35655,P4050014,98204,P4050014,98204,P3057722,35655,P4189511,158865
P4050418,98375,P4050418,98375,P3058102,35786,P4050418,98375,P4050418,98375,P3058102,35786,P4189557,158879
P4050987,98627,P4050987,98627,P3058745,35999,P4050987,98627,P4050987,98627,P3058745,35999,P4189698,158965
P4051209,98698,P4051209,98698,P3059972,36450,P4051209,98698,P4051209,98698,P3059972,36450,7205515,7205515
P4051211,98700,P4051211,98700,P3060177,36495,P4051211,98700,P4051211,98700,P3060177,36495,7046421,7046421
P4051617,98863,P4051617,98863,P3062709,37407,P4051617,98863,P4051617,98863,P3062709,37407,7046566,7046566
P4051998,99025,P4051998,99025,P3062710,37408,P4051998,99025,P4051998,99025,P3062710,37408,P4119725,124920
P4051999,99026,P4051999,99026,P3064208,37909,P4051999,99026,P4051999,99026,P3064208,37909,P4190030,159146
P4052000,99027,P4052000,99027,P3064953,38168,P4052000,99027,P4052000,99027,P3064953,38168,7046611,7046611
P4052362,99151,P4052362,99151,P3065075,38214,P4052362,99151,P4052362,99151,P3065075,38214,7046612,7046612
P4053268,99528,P4053268,99528,P3065076,38215,P4053268,99528,P4053268,99528,P3065076,38215,7046614,7046614
P4053530,99636,P4053530,99636,P3065079,38218,P4053530,99636,P4053530,99636,P3065079,38218,7046615,7046615
P4053669,99672,P4053669,99672,P3065287,38285,P4053669,99672,P4053669,99672,P3065287,38285,7205537,7205537
P4054676,100052,P4054676,100052,P3066055,38580,P4054676,100052,P4054676,100052,P3066055,38580,7205556,7205556
P4055385,100335,P4055385,100335,P3066775,38845,P4055385,100335,P4055385,100335,P3066775,38845,P4120335,125184
P4055676,100442,P4055676,100442,P3068546,39119,P4055676,100442,P4055676,100442,P3068546,39119,P4120810,125374
P4056571,100747,P4056571,100747,P3068677,39173,P4056571,100747,P4056571,100747,P3068677,39173,P4120848,125385
P4056573,100748,P4056573,100748,P3069549,39475,P4056573,100748,P4056573,100748,P3069549,39475,7205613,7205613
P4057304,101083,P4057304,101083,P3071103,40010,P4057304,101083,P4057304,101083,P3071103,40010,P4190254,159279
