source_system,source_file,schema_name,table_name,field_name,table_field,ordinal_position,data_type,size_text,full_type,max_length,numeric_precision,numeric_scale,is_nullable
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_active_plans,ehcp_ehcp_request_id,ssd_ehcp_active_plans.ehcp_ehcp_request_id,2,nvarchar,48,nvarchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_active_plans,ehcp_active_ehcp_last_review_date,ssd_ehcp_active_plans.ehcp_active_ehcp_last_review_date,3,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_assessment,ehca_ehcp_assessment_id,ssd_ehcp_assessment.ehca_ehcp_assessment_id,1,nvarchar,48,nvarchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_assessment,ehca_ehcp_request_id,ssd_ehcp_assessment.ehca_ehcp_request_id,2,nvarchar,48,nvarchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_assessment,ehca_ehcp_assessment_outcome_date,ssd_ehcp_assessment.ehca_ehcp_assessment_outcome_date,3,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_assessment,ehca_ehcp_assessment_outcome,ssd_ehcp_assessment.ehca_ehcp_assessment_outcome,4,nvarchar,100,nvarchar(100),100,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_assessment,ehca_ehcp_assessment_exceptions,ssd_ehcp_assessment.ehca_ehcp_assessment_exceptions,5,nvarchar,100,nvarchar(100),100,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_named_plan,ehcn_named_plan_id,ssd_ehcp_named_plan.ehcn_named_plan_id,1,nvarchar,48,nvarchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_named_plan,ehcn_ehcp_asmt_id,ssd_ehcp_named_plan.ehcn_ehcp_asmt_id,2,nvarchar,48,nvarchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_named_plan,ehcn_named_plan_start_date,ssd_ehcp_named_plan.ehcn_named_plan_start_date,3,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_named_plan,ehcn_named_plan_ceased_date,ssd_ehcp_named_plan.ehcn_named_plan_ceased_date,4,datetime,,datetime,,,,
