source_system,table_name,field_name,raw_row_count,source_file_count,distinct_full_type_count,distinct_size_count,distinct_nullable_count,distinct_ordinal_count,source_files
systemc,ssd_cohort,dim_person_id,2,2,1,1,1,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cohort.sql
systemc,ssd_cohort,first_activity_dttm,2,2,1,0,1,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cohort.sql
systemc,ssd_cohort,has_903,2,2,1,0,1,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cohort.sql
systemc,ssd_cohort,has_client_flag,2,2,1,0,1,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cohort.sql
systemc,ssd_cohort,has_contact,2,2,1,0,1,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cohort.sql
systemc,ssd_cohort,has_eligibility,2,2,1,0,1,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cohort.sql
systemc,ssd_cohort,has_involvement,2,2,1,0,1,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cohort.sql
systemc,ssd_cohort,has_referral,2,2,1,0,1,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cohort.sql
systemc,ssd_cohort,is_care_leaver,2,2,1,0,1,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cohort.sql
systemc,ssd_cohort,last_activity_dttm,2,2,1,0,1,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cohort.sql
systemc,ssd_cohort,legacy_id,2,2,1,1,1,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cohort.sql
systemc,ssd_contacts,cont_contact_date,2,2,1,0,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_contacts.sql
systemc,ssd_contacts,cont_contact_id,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_contacts.sql
systemc,ssd_contacts,cont_contact_outcome_json,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_contacts.sql
